,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
11814,33.202496000000004,-96.883534,https://www.realtor.com/realestateandhomes-detail/14612-Eaglemont-Dr_Little-Elm_TX_75068_M82276-19758,Little Elm,TX,75068.0,Active,Single Family Home,Traditional,245000.0,3.0,2.0,0.0,1790.0,0.12300275482093664,8.0,2003.0,378492.6350342664,-133492.6350342664
11815,33.150946999999995,-97.043054,https://www.realtor.com/realestateandhomes-detail/4106-Rocky-Bend-Ct_Corinth_TX_76208_M70024-16697,Corinth,TX,76208.0,Active,Single Family Home,Traditional,250000.0,3.0,2.0,0.0,1836.0,0.19201101928374656,7.0,2002.0,323892.8202846302,-73892.82028463017
11816,33.227644,-96.936351,https://www.realtor.com/realestateandhomes-detail/1411-Cardinal-Way_Aubrey_TX_76227_M83408-87221,Aubrey,TX,76227.0,Active,Single Family Home,Traditional,265000.0,4.0,2.0,1.0,2833.0,0.14800275482093664,7.0,2004.0,416297.013701195,-151297.013701195
11817,33.199145,-97.01705,https://www.realtor.com/realestateandhomes-detail/5401-W-Oak-Shores-Dr_Crossroads_TX_76227_M88122-86750,Crossroads,TX,76227.0,Active,Single Family Home,Mediterranean,1234500.0,4.0,4.0,1.0,6203.0,1.4,8.0,2002.0,2093127.7518966983,-858627.7518966983
11818,32.997533000000004,-96.98639399999999,https://www.realtor.com/realestateandhomes-detail/405-Ridge-Point-Dr_Lewisville_TX_75067_M85790-04579,Lewisville,TX,75067.0,Active,Single Family Home,Traditional,359000.0,5.0,3.0,0.0,3015.0,0.15199724517906335,7.0,1998.0,233210.71484700832,125789.28515299168
11819,33.180906,-96.870199,https://www.realtor.com/realestateandhomes-detail/2252-Barret-Dr_Frisco_TX_75033_M74158-65025,Frisco,TX,75033.0,Active,Single Family Home,Traditional,375000.0,4.0,3.0,0.0,2925.0,0.14100091827364555,8.0,2003.0,326008.1461523705,48991.85384762951
11820,33.399941999999996,-96.964844,https://www.realtor.com/realestateandhomes-detail/406-Scott-Ln_Pilot-Point_TX_76258_M74958-21901,Pilot Point,TX,76258.0,Active,Single Family Home,nan,249900.0,3.0,2.0,0.0,1572.0,0.14499540863177227,8.0,2019.0,329145.5191388475,-79245.51913884748
11821,33.113197,-97.222727,https://www.realtor.com/realestateandhomes-detail/712-10th-St_Argyle_TX_76226_M81081-28667,Argyle,TX,76226.0,Active,Single Family Home,Traditional,289014.0,3.0,3.0,0.0,1947.0,0.1,8.0,2019.0,354372.4882080498,-65358.48820804979
11822,33.112671,-97.223299,https://www.realtor.com/realestateandhomes-detail/936-Parkside-Dr_Argyle_TX_76226_M81090-97581,Argyle,TX,76226.0,Active,Single Family Home,Traditional,291194.0,3.0,3.0,0.0,1947.0,0.1,8.0,2019.0,354372.4882080498,-63178.48820804979
11823,33.12672,-96.885545,https://www.realtor.com/realestateandhomes-detail/5739-Dashingly-Dr_Frisco_TX_75036_M82015-95503,Frisco,TX,75036.0,Active,Single Family Home,Traditional,534900.0,4.0,3.0,1.0,3482.0,0.15199724517906335,49.0,2014.0,489849.0464928645,45050.953507135506
